date__begin,date__end,module_name,clk_per,realops,latency,throughput,critpath,area_mux,area_func,area_logic,area_buffer,area_mem,area_rom,area_reg,area_fsm_reg,area_fsm_comb
1733899251,1733899337,Accelerator,5,403,320,320,3.862839,1856.6,744.7,621.3,0.0,0.0,0.0,6171.2,26.0,26.0
1733904139,1733904218,Accelerator,5,403,161,160,3.862839,2148.2,744.7,1057.4,0.0,0.0,0.0,6415.9,16.0,16.0
